city,label,title,gallery,address,thumbnail
London,last day,Ivan Seal: prelude,Alma Pearl,"Unit T, Reliance Wharf, 2-10 Hertford Road, N1 5ET",https://www.galleriesnow.net/wp-content/uploads/2025/02/AP23012025-087-800x533.jpg
London,last day,Porous Abstraction,Alma Pearl,"Unit T, Reliance Wharf, 2-10 Hertford Road, N1 5ET",https://www.galleriesnow.net/wp-content/uploads/2025/01/AP23012025-075-800x533.jpeg
London,last day,Abi Morocco Photos: Spirit of Lagos,Autograph,"Rivington Place, EC2A 3BA",https://www.galleriesnow.net/wp-content/uploads/2024/10/Autograph-Abi-Morocco-Photos-2-800x533.webp
London,last day,Rotimi Fani-Kayode: The Studio – Staging Desire,Autograph,"Rivington Place, EC2A 3BA",https://www.galleriesnow.net/wp-content/uploads/2024/10/Autograph-Rotimi-Fani-Kayode-1-800x533.webp
London,last day,Thomas Ruff: expériences lumineuses,David Zwirner,"24 Grafton Street, W1S 4EZ",https://www.galleriesnow.net/wp-content/uploads/2025/01/David-Zwirner-Thomas-Ruff-1-800x599.webp
London,last day,Heather Agyepong: Through Motion,Doyle Wham,"91a Rivington Street, EC2A 3AY",https://www.galleriesnow.net/wp-content/uploads/2025/02/Doyle-Wham-Heather-Agyepong-1-800x534.webp
London,last day,Inaugural Exhibition,Elizabeth Xi Bauer,"20-22 Exmouth Market, EC1R 4QE",https://www.galleriesnow.net/wp-content/uploads/2024/12/Elizabeth-Xi-Bauer-Exmouth-Market-800x521.jpg
London,last day,Portraits: Through The Looking Glass,JD Malat Gallery,"30 Davies Street, W1K 4NB",https://www.galleriesnow.net/wp-content/uploads/2025/02/JD-Malat-Portraits-1-800x533.webp
London,last day,Georg Wilson: The Last Oozings,Pilar Corrias,"51 Conduit Street, W1S 2YT",https://www.galleriesnow.net/wp-content/uploads/2025/02/Pilar-Corrias-Conduit-St-Georg-Wilson-1-800x600.webp
London,last day,Sophie von Hellermann: Moonage,Pilar Corrias,"51 Conduit Street, W1S 2YT",https://www.galleriesnow.net/wp-content/uploads/2025/02/Pilar-Corrias-Conduit-St-Sophie-von-Hellermann-4-800x600.webp
London,last day,Mario Martinez: Yaqui & Brooklyn Conversations,Pippy Houldsworth Gallery,"6 Heddon Street, W1B 4BT",https://www.galleriesnow.net/wp-content/uploads/2025/02/Pippy-Houldsworth-Mario-Martinez-7-800x600.webp
London,last day,Bruce Conner: THREE SCREEN RAY,Thomas Dane Gallery,"3 & 11 Duke Street, St James’s, SW1Y 6BN",https://www.galleriesnow.net/wp-content/uploads/2025/01/Thomas-Dane-Gallery-Bruce-Conner-3-800x533.webp
London,last day,A Conscious Relation: body/mind/movement,Tiwani Contemporary,"24 Cork Street, W1S 3NG",https://www.galleriesnow.net/wp-content/uploads/2025/02/Tiwani-Contemporary-A-Conscious-Relation-1-800x533.webp
London,last day,Cold Feed,Workplace,"50 Mortimer Street, W1W 7RP",https://www.galleriesnow.net/wp-content/uploads/2025/03/Workplace-Cold-Feed-NEW-1-800x533.webp
Los Angeles,talk,Hugo Crosthwaite and Carolina Miranda in Conversation,Luis De Jesus Los Angeles,"1110 Mateo St, CA 90021",https://www.galleriesnow.net/wp-content/uploads/2025/03/Luis-de-Jesus-Los-Angeles-Hugo-Crosthwaite-1-800x533.webp
Los Angeles,opening reception (& first day),Holly Coulis: Song,Philip Martin Gallery,"3342 Verdugo Road, Ste A, CA 90065",https://www.galleriesnow.net/wp-content/uploads/2025/02/HC_2025_FlowersWaterVases_OTHER_LG-copy-800x450.jpg
Los Angeles,opening reception (& first day),Back At Cha - A Celebration of Alonzo Davis,parrasch heijnen,"1326 S Boyle Avenue, CA 90023",https://www.galleriesnow.net/wp-content/uploads/2020/02/parrasch-heijnen.jpg
Melbourne,opening reception (& first day),Benjamin Armstrong: Traverse,Tolarno Galleries,"Level 5, 104 Exhibition St., VIC 3000",https://www.galleriesnow.net/wp-content/uploads/2025/03/Tolarno-Benjamin-Armstrong-8-800x448.webp
Naples,last day,Darren Almond: Songbirds and Willows,Alfonso Artiaco,"Piazzetta Nilo n.7, 80134",https://www.galleriesnow.net/wp-content/uploads/2025/01/Alfonso-Artiaco-Darren-Almond-3-800x600.webp
New York,opening reception (& first day),Diana Kurz: A Journey of Discovery,Lincoln Glenn,"542 West 24th Street, NY 10011",https://www.galleriesnow.net/wp-content/uploads/2025/03/Diana-Kurz-800x869.webp
New York,last day,"Charles Avery: The Eidola, Pigs and Blades of the Inner Vast",GRIMM,"54 White Street, NY 10013",https://www.galleriesnow.net/wp-content/uploads/2025/02/GRIMM-New-York-Charles-Avery-2-800x533.webp
New York,last day,Cy Twombly,Gagosian,"980 Madison Avenue, NY 10075",https://www.galleriesnow.net/wp-content/uploads/2025/01/Gagosian-980-Madison-Ave-Cy-Twombly-1-800x571.webp
Palm Beach,first day,Gustavo Novoa - Recent Works,Findlay Galleries,"165 Worth Avenue, 33480",https://www.galleriesnow.net/wp-content/uploads/2025/03/141663-Novoa-LR-UF-800x533.webp
Paris,opening reception (& first day),Amélie Bertrand: Country Life,Semiose,"44 rue Quincampoix, 75004",No thumbnail
Paris,opening reception (& first day),"Anton Alvarez, Oli Epp: Sweet Tooth",Semiose,"44 rue Quincampoix, 75004",No thumbnail
Paris,opening reception (& first day),Frank Bowling. Collage,Hauser & Wirth,"26 bis rue François 1er, 75008",https://www.galleriesnow.net/wp-content/uploads/2023/10/Hauser-Wirth-Paris.jpg
Paris,last day,Des affinités électives,Loevenbruck,"12, rue Jacques Callot, 75006",https://www.galleriesnow.net/wp-content/uploads/2025/01/Loevenbruck-12-rue-Jacques-Callot.webp
Paris,last day,Dossier 68 | S.M.S (Shit Must Stop),Loevenbruck,"6, rue Jacques Callot, 75006",https://www.galleriesnow.net/wp-content/uploads/2025/02/A-3-©-Photo-Fabrice-Gousset_1-800x533.jpg
Seoul,last day,Ruben Müller: The Place That Cannot Be,LKIF Gallery,"2F, 36-63 Hannam-daero 27-gil, Yongsan-Gu, 04399",https://www.galleriesnow.net/wp-content/uploads/2025/02/LKIF-Gallery-Ruben-Muller-1-800x1067.webp
Sydney,last day,Bonnie Connelly Nakara: Minyma Kutjara Tjukurrpa,Art Leven,"17 Thurlow Street, Redfern, NSW 2016",https://www.galleriesnow.net/wp-content/uploads/2025/02/BONNIE_NAKARA_CONNELLY_NGURRA_TJALAKU-800x585.webp
Taipei,opening reception (& first day),Bay Tang Jiaxin: Array of Thorns,Bluerider ART,"1F, No.10, Ln. 101, Sector 1, Daan Road,",https://www.galleriesnow.net/wp-content/uploads/2025/03/Bay-Tang-Jiaxin_Array-of-Thorns_IV-4-800x370.jpg
Taipei,opening reception (& first day),Chingltu: Distant Gallop,Bluerider ART,"1F, No.10, Ln. 101, Sector 1, Daan Road,",https://www.galleriesnow.net/wp-content/uploads/2025/03/Chingltu_Distant-Gallop_IV-8-800x370.jpg
Tokyo,last day,Sigrid Sandström: Dusk,Perrotin,"1F, 6-6-9 Roppongi, Minato City, 106-0032",https://www.galleriesnow.net/wp-content/uploads/2025/01/Perrotin-Tokyo-Sigrid-Sandstrom-1-800x533.webp
Zürich,last day,Matias Faldbakken: Abstracts and Pewter Abstracts,Galerie Eva Presenhuber,"Waldmannstrasse 6, CH-8001",https://www.galleriesnow.net/wp-content/uploads/2025/02/Galerie-Eva-Presenhuber-Matias-Faldbakken-1-800x600.webp
Zürich,last day,Andriu Deplazes: Nasse Augen,Galerie Peter Kilchmann,"Rämistrasse 33, 8001",https://www.galleriesnow.net/wp-content/uploads/2025/01/Galerie-Peter-Kilchmann-Andriu-Deplazes-1-800x533.webp
